<h3>第257章 处处有坑</h3>
　　刘厂长在前，带着三人去成品库，走到一堆家具前时，指着这些家具道：“你看，都在这儿，马上就要包装了。”<br />
　　沈韵和许雯雯细细看了一眼，当即对了一下眼色，齐齐微微摇了摇头。<br />
　　只因为，两人都看出来了，这根本就不是自己订的货。<br />
　　再者，现场的这批货虽然被清理过了，但从一些细节上可以看出，搁置有蛮久了，至少上了两年以上，也就是说，是库存的货。<br />
　　或者说，销不出去的货。<br />
　　但两人当初订货的时候都刻意提出来了：要的是新产品，不要存货！<br />
　　“刘厂长，这不是我们的货吧，你是不是搞错单子了。”许雯雯绷着脸说道。<br />
　　这女人性格本来就有些血猛，加上这些年跟各种道上的人打交道，所以，胆子大，不怕事。<br />
　　“就是你们的货，你看，这里都贴着产品单，上面写得清清楚楚，os11号，就是你们订的产品型号。”<br />
　　几人一看产品单，还真是os11号。<br />
　　看来，被坑了！<br />
