

<h3>第349章 没得选择</h3>
　　这女人真是狠辣，身形一闪，直接冲入战团，手中短匕有如出洞灵蛇，径直抹向对方胸口。<br />
　　这一瞬间，星辰阁为首那人脚踩步法，整个身影一阵晃动，身体以一种奇怪的动作变向运动！<br />
　　叶凡双眼爆睁，暗叫一声：糟了！<br />
　　身体内早已蓄势狂转的始原气瞬间灌入秘境，人如捷豹，扑向欧阳沐的右侧。<br />
　　那里空荡荡的没有人，但眨眼间，星辰阁为首那人突兀出现在那里。<br />
　　对方明显是看到了疯狂扑过来的叶凡，不禁轻“咦”了一声，应该是惊讶于叶凡的预判，但手上并没迟钝，一掌拍向欧阳沐的脑袋。<br />
　　这若是拍实了，欧阳沐还有活路吗？<br />
　　绝对会命丧当场。<br />
　　欧阳沐已发现对方出现在身侧，惊得全身汗毛炸起，瞬间开启体内秘境，身形一蹿，欲闪避。<br />
　　但对方有如附骨之姐，贴着她身子飘移，掌势越来越近，欧阳沐甚至感觉到了掌风般刮过自己脸颊，生冷刺骨如风刀刮面……<br />
　　死亡的预感骤生，来得如此突然和绝烈。<br />
　　欧阳沐眼中厉光一闪，不再躲闪，身形微错，手中匕首横胸抹杀，欲与对方拼个玉石俱焚。<br />
　　正火急救援的叶凡不由得一声暗骂：该死，这不是逼对方开启秘境吗！？<br />
　　果真，星辰阁为首那人似乎笑了笑，下一秒，体内突然爆起狮吼虎啸，有如体内困着千百兽群……<br />
　　通幽境！<br />
　　对方开启通幽境了！<br />
　　听到这声音，欧阳沐懵了，看她这反应，应该是知道通幽境界，也知道对方体内爆出的这些兽叫声，就是通幽境开启的症兆！<br />
　　竟然是恐怖的通幽境，直到这一秒，狠辣的欧阳沐才涌起绝望的感觉。<br />
　　叶凡自然也熟悉这些兽啸声……<br />
　　从曲径境突破到通幽境以后，因境界不稳，所以，每当开启通幽秘境时，体内血脉和筋骨就会像兽潮暴动一般，发出百兽齐吼的异啸，而当境界稳定时，这时啸吼声则会消失！<br />
　　也就是说，星辰阁为首那人肯定刚突破通幽境没多久，有可能是半年，有可能是一年。<br />
　　但即便是刚突破，也足以秒杀曲径境了！<br />
　　所以，听到对方体内的狮吼虎啸声时，叶凡的头发都炸立起来！<br />
　　说实在的，他真的想转身就跑，可不能让欧阳沐死啊，她一死，追查修罗门的线索则断掉了，而再想碰修罗门的人，不知道要等到猴年马月。<br />
　　没办法，必须把她救下来……<br />
