
<h3>第81章 我老婆有钱</h3>
　　二是，大伙都知道柴一和她关系很好。<br />
　　光凭这两点，谁都要惦量着应付许雯雯，要起账来自然比他人轻松得多。<br />
　　所以说，许雯雯是个很聪明的女人，非常会借势，像上次她和高强谈判就可看出一二，叫辛无畏往那一坐，高强也好，还是五位大佬也好，都得乖乖盘着。<br />
　　但这次的事情很棘手，因为对方是孔虎和姜丕，即高新区和工业园的老大。<br />
　　这两人都不是善类，都是靠见不得人的手段发家致富的，哪会乖乖把钱拿出来。<br />
　　所以，许雯雯获知欠账的是孔虎和姜丕以后，立即表示能力有限，婉拒了远房表舅，哪知道那远房表舅随即就给许雯雯爸妈打电话，她爸妈回头就压到了许雯雯身上，许雯雯只好郁闷答应了。<br />
　　而事情就跟许雯雯判断的那样，她和远房表舅去找孔虎和姜丕时，对方态度明确：会给，不会少你一分钱，但现在手头紧，过一阵子再给。<br />
　　典型的赖账套路：态度好，会给钱，但现在没有，以后再说。<br />
　　许雯雯能怎么办？<br />
　　凭自己名声吓不住这两个恶人，硬来的话，未必玩得过两人，就算玩得过，那绝对也是伤敌一千，自损八百。<br />
　　许雯雯头大了，偏偏那远房表舅整天守着雯雯，好似乎是许雯雯欠着他钱一样。<br />
　　哎，什么世道啊！<br />
　　听完后，沈韵感叹道：“难怪你愁眉苦脸。”<br />
　　“吃力不讨好，整不好还要惹一身骚，不愁眉苦脸才怪。”<br />
　　“不如，你把实际情况和你爸妈说清楚，让你爸妈去跟你远房表舅说说。”<br />
　　许雯雯苦笑道：“我爸妈都死要面子，哪开得了这种口，再者，我爸妈怕我表舅在亲戚面前说不是，更不会开口了。”<br />
　　“那怎么办？”<br />
　　“我也不知道怎么办，正头痛呢。”<br />
　　两人正无语时，旁边的叶凡一边嚼着饭菜，一边含糊不清说道：“这种事，软磨是磨不出结果的，只有来硬的，先把他们打怕了，他们自然就会乖乖还钱。”<br />
　　“说着这么轻巧，有本事你去啊。”沈韵瞪了叶凡一眼。<br />
　　“关我什么事啊。”叶凡翻了个白眼。<br />
　　而许雯雯眼睛一亮，当即在桌子下踢了叶凡一脚，娇俏笑道：“喂，有没有兴趣赚点零花钱。”<br />
　　“没兴趣。”<br />
　　“如果你把这笔账要回来，我给你十万。”<br />
　　“赫，以为我见钱眼开是吧。”<br />
　　“二十万。”<br />
　　“哎，没想到你是这种人，有钱了不起吗，太让我失望了。”<br />
　　“三十万。”<br />
　　“许雯雯，你再这样子，我真的要发火了。”<br />
　　“三十五万。”<br />
　　“成交！”<br />
　　“……”<br />
